GOM: Zeit [s],GOM: Dehnung (Mittelwert): Epsilon Y [%],Querdehnung (Mittelwert): Epsilon X [%],Verformung 1: Länge Y-Differenz [mm],ZWICK-AVG: Dehnung,ZWICK-AVG: Standardkraft,ZWICK-AVG: Prfzeit,ZWICK-AVG: Geschwindigkeitsverhltnis,ZWICK-AVG: Standardweg,Sum of ZWICK samples
75.4,0.372109972,-0.0966548007,0.158656318,1.6770825,703.656875,72.56281249999999,1.0,1.6770825,8
75.2,0.371447511,-0.0958721443,0.160539768,1.67255,702.3502500000001,72.3675,1.0,1.67255,8
75.0,0.369340888,-0.0962467456,0.157483193,1.6683228571428568,699.6434285714286,72.18607142857142,1.0,1.6683228571428568,7
74.8,0.367810267,-0.0960146209,0.156918415,1.6632966666666666,696.3248333333332,71.97083333333333,1.0,1.6632966666666666,6
74.6,0.366478432,-0.0958456851,0.157495384,1.6583057142857143,694.9145714285714,71.75785714285713,1.0,1.6583057142857143,7
74.4,0.364393531,-0.0960606469,0.155396519,1.6538666666666666,694.2921666666666,71.5675,1.0,1.6538666666666666,6
74.2,0.363608929,-0.0955878106,0.156148299,1.64908,690.1855714285713,71.36321428571429,1.0,1.64908,7
74.0,0.362856357,-0.0938489036,0.154760588,1.6445366666666665,689.0655,71.1675,1.0,1.6445366666666665,6
73.8,0.361223943,-0.0939248925,0.153479214,1.6395875,686.66975,70.95531249999999,1.0,1.6395875,8
73.6,0.360001325,-0.0940507498,0.153852356,1.6348266666666664,685.0,70.75083333333333,1.0,1.6348266666666664,6
73.4,0.358913018,-0.0940906357,0.153697964,1.63026125,682.7497500000001,70.55499999999999,1.0,1.63026125,8
73.2,0.357828763,-0.093801175,0.153998872,1.6257712500000001,681.660625,70.3628125,1.0,1.6257712500000001,8
73.0,0.356525375,-0.0931511944,0.153358104,1.620874,678.7861999999999,70.1535,1.0,1.620874,5
72.8,0.354638788,-0.0925198988,0.152441724,1.6163411111111108,676.5791111111112,69.95972222222223,1.0,1.6163411111111108,9
72.6,0.35361569,-0.0921357767,0.151678127,1.6116866666666665,674.2560000000001,69.76,1.0,1.6116866666666665,9
72.4,0.352751087,-0.0920782968,0.152504492,1.60720875,672.513875,69.5678125,1.0,1.60720875,8
72.2,0.351328927,-0.0915473779,0.149146209,1.6028599999999997,670.2738571428572,69.38071428571428,1.0,1.6028599999999997,7
72.0,0.349011569,-0.0915843489,0.149867029,1.59835,668.158375,69.1875,1.0,1.59835,8
71.8,0.348773487,-0.091253047,0.149087815,1.5926571428571428,665.5448571428572,68.94357142857143,1.0,1.5926571428571428,7
71.6,0.347101402,-0.0903416105,0.147783945,1.58877,665.5450000000001,68.7775,1.0,1.58877,2
71.4,0.345520827,-0.0903130066,0.147929454,1.5840866666666666,661.7698333333333,68.5775,1.0,1.5840866666666666,6
71.2,0.344300435,-0.0906437139,0.146776749,1.5789533333333334,658.5756666666666,68.3575,1.0,1.5789533333333334,6
71.0,0.34270937,-0.0911644636,0.146765262,1.57494,656.3978750000001,68.18531250000001,1.0,1.57494,8
70.8,0.34054122,-0.0892413822,0.144799048,1.5701224999999999,655.091125,67.9778125,1.0,1.5701224999999999,8
70.6,0.34027969,-0.0895203874,0.145834639,1.5647871428571427,652.3534285714286,67.74928571428572,1.0,1.5647871428571427,7
70.4,0.338873613,-0.0898134142,0.146028104,1.56037,650.058,67.5597222222222,1.0,1.56037,9
70.2,0.337766783,-0.0882179607,0.144396594,1.5556355555555559,647.3477777777777,67.35750000000002,1.0,1.5556355555555559,9
70.0,0.336876258,-0.0879453856,0.14258917,1.5507374999999999,644.8554999999999,67.1478125,1.0,1.5507374999999999,8
69.8,0.335132072,-0.0875680744,0.143382093,1.5463437500000001,643.5486250000001,66.96000000000001,1.0,1.5463437500000001,8
69.6,0.333301592,-0.0879512261,0.142918166,1.542092857142857,641.650857142857,66.7775,1.0,1.542092857142857,7
69.4,0.332569166,-0.0871619957,0.141180017,1.5371842857142857,638.9131428571428,66.56607142857142,1.0,1.5371842857142857,7
69.2,0.330199372,-0.0860738966,0.140700088,1.5323233333333333,636.8942222222222,66.35777777777778,1.0,1.5323233333333333,9
69.0,0.329482704,-0.086345573,0.140350341,1.5277033333333334,634.7647777777778,66.15972222222223,1.0,1.5277033333333334,9
68.8,0.32765842,-0.0852184632,0.140338335,1.5232300000000003,632.2482222222222,65.9686111111111,1.0,1.5232300000000003,9
68.6,0.327907883,-0.0867259128,0.139601832,1.518762,629.6542000000001,65.7775,1.0,1.518762,5
68.4,0.325494836,-0.0864484974,0.138068133,1.513887142857143,627.215142857143,65.56928571428573,1.0,1.513887142857143,7
68.2,0.324356673,-0.0850835349,0.138552529,1.5092050000000001,625.473,65.3675,1.0,1.5092050000000001,2
68.0,0.322294276,-0.0846584027,0.138576649,1.505465,623.1495000000001,65.2075,1.0,1.505465,6
67.8,0.322040936,-0.0842431419,0.13827193,1.4996571428571428,621.4902857142858,64.95785714285715,1.0,1.4996571428571428,7
67.6,0.320474135,-0.0835883678,0.135756558,1.4947871428571429,619.4992857142857,64.74892857142856,1.0,1.4947871428571429,7
67.4,0.319773215,-0.0840116587,0.135935744,1.4904387500000003,616.76125,64.5628125,1.0,1.4904387500000003,8
67.2,0.317819109,-0.0827745508,0.13554612,1.48553,614.801375,64.35281250000001,1.0,1.48553,8
67.0,0.31669142,-0.0829798219,0.135251232,1.48135,613.5671666666666,64.17416666666666,1.0,1.48135,6
66.8,0.315418812,-0.0826582266,0.134809205,1.4774649999999998,611.0989999999999,64.0075,1.0,1.4774649999999998,4
66.6,0.314128333,-0.0821117495,0.134994027,1.4718933333333335,608.2436666666667,63.76861111111111,1.0,1.4718933333333335,9
66.4,0.312988092,-0.0817684135,0.134401909,1.4673783333333332,606.3078333333333,63.57416666666666,1.0,1.4673783333333332,6
66.2,0.311522154,-0.0820957282,0.133165567,1.4627362499999998,603.476625,63.37531250000001,1.0,1.4627362499999998,8
66.0,0.31048943,-0.0806671921,0.133994606,1.4576475,600.427625,63.1575,1.0,1.4576475,8
65.8,0.30841898,-0.0817455078,0.132401624,1.4532855555555555,598.5642222222222,62.97083333333333,1.0,1.4532855555555555,9
